gen,n,shape,raw,comp,ratio,slack,growth_3_8,alphabet,lines,distinct_lines,space_share,run_share,max_run,repeat_count,repeat_wasted,repeat_block,seconds
a_painter_ant,3,dense,400,130,3.08,270,,16,1,1,0.003,0.42,8,35,136,eeee,0.0
a_painter_ant,3,parity,268,123,2.18,145,,16,1,1,0.015,0.358,8,20,76,eeee,0.0
a_painter_ant,8,dense,140276,1695,82.76,138581,350.7,21,1,1,0.001,0.964,256,17157,2195968,ssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss,0.004
a_painter_ant,8,parity,135016,1661,81.29,133355,503.8,21,1,1,0.001,0.963,256,16512,2113408,ssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss,0.004
addsubjump,3,dense,515,172,2.99,343,,12,1,1,0.285,0.0,2,29,112, -7 ,0.001
addsubjump,3,parity,872,255,3.42,617,,12,1,1,0.279,0.0,3,49,192, -7 ,0.001
addsubjump,8,dense,18993,4183,4.54,14810,36.9,12,1,1,0.229,0.0,3,1247,4984, 362,0.005
addsubjump,8,parity,27579,5939,4.64,21640,31.6,12,1,1,0.228,0.0,4,1815,7256, 524,0.004
algebraic_programming_language,3,dense,146,56,2.61,90,,17,5,5,0.301,0.0,2,14,52, & !,0.0
algebraic_programming_language,3,parity,90,53,1.7,37,,17,5,5,0.289,0.0,2,8,28, & !,0.0
algebraic_programming_language,8,dense,6133,395,15.53,5738,42.0,22,5,5,0.347,0.0,2,931,3720, & !,0.002
algebraic_programming_language,8,parity,5904,401,14.72,5503,65.6,22,5,5,0.347,0.0,2,896,3580, & !,0.002
alight,3,dense,121,78,1.55,43,,30,1,1,0.132,0.05,6,3,16,;inp a;s,0.0
alight,3,parity,121,82,1.48,39,,30,1,1,0.132,0.0,2,3,16,;inp a;s,0.0
alight,8,dense,474,150,3.16,324,3.9,30,1,1,0.065,0.141,9,5,256,a-48;inp a;set i i*2+a-48;inp a;set i i*2+a-48;inp a;set i i*2+a,0.0
alight,8,parity,474,104,4.56,370,3.9,30,1,1,0.065,0.0,2,5,256,a-48;inp a;set i i*2+a-48;inp a;set i i*2+a-48;inp a;set i i*2+a,0.0
arrowqueue,3,dense,202,84,2.4,118,,11,35,22,0.446,0.332,9,30,116,    ,0.0
arrowqueue,3,parity,273,90,3.03,183,,11,44,20,0.52,0.396,9,53,208,    ,0.0
arrowqueue,8,dense,12327,447,27.58,11880,61.0,16,616,75,0.816,0.754,24,5639,45104,        ,0.005
arrowqueue,8,parity,16671,314,53.09,16357,61.1,16,808,45,0.826,0.766,24,7965,63712,        ,0.006
back,3,dense,71,48,1.48,23,,15,13,9,0.169,0.155,7,5,16,    ,0.0
back,3,parity,118,62,1.9,56,,15,13,12,0.314,0.305,7,18,68,    ,0.0
back,8,dense,4700,335,14.03,4365,66.2,20,175,61,0.692,0.692,23,2044,16344,        ,0.002
back,8,parity,7063,246,28.71,6817,59.9,20,256,43,0.719,0.719,23,3302,26408,        ,0.002
basicfuck,3,dense,378,174,2.17,204,,41,28,24,0.32,0.127,6,18,68,    ,0.0
basicfuck,3,parity,702,182,3.86,520,,41,52,20,0.395,0.228,6,64,252,    ,0.0
basicfuck,8,dense,22550,604,37.33,21946,59.7,43,1064,53,0.665,0.585,16,6026,48200,        ,0.002
basicfuck,8,parity,34058,572,59.54,33486,48.5,43,1550,45,0.679,0.601,16,9920,79352,        ,0.002
between,3,dense,156,90,1.73,66,,21,20,15,0.0,0.0,0,3,16,"]=|0|)
|",0.0
between,3,parity,256,108,2.37,148,,25,32,19,0.0,0.0,0,7,48,"]=|0|)
|",0.0
between,8,dense,4701,753,6.24,3948,30.1,26,548,201,0.0,0.0,3,174,1384,"]=|0|)
|",0.003
between,8,parity,6807,943,7.22,5864,26.6,26,791,282,0.0,0.0,3,255,2032,"]=|0|)
|",0.002
bf_tree,3,dense,269,56,4.8,213,,8,1,1,0.0,0.77,48,51,1600,--------------------------------,0.0
bf_tree,3,parity,330,64,5.16,266,,8,1,1,0.0,0.609,48,51,1600,--------------------------------,0.0
bf_tree,8,dense,3759,267,14.08,3492,14.0,8,1,1,0.0,0.144,48,136,4320,--------------------------------,0.002
bf_tree,8,parity,4945,149,33.19,4796,15.0,8,1,1,0.0,0.093,48,136,4320,--------------------------------,0.002
bfpda,3,dense,72,46,1.57,26,,12,1,1,0.0,0.125,5,6,20,><]>,0.0
bfpda,3,parity,123,53,2.32,70,,12,1,1,0.0,0.0,2,14,52,><]>,0.0
